controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
rule,heavy_rain,28,12.74403665479,0.229166666666667,0,0,0,0.000461805555555556,0
mpc,heavy_rain,28,12.7440366617731,0.229166666666667,0,1.31435491820434e-08,1,0.361970052083333,0
rule,heavy_rain,29,11.8074917964207,0.229166666666667,0,0,0,0.000473090277777778,0
mpc,heavy_rain,29,14.031769719589,0.302083333333333,0,4.83920686064755,1,0.365927951388889,0
rule,heavy_rain,30,8.04504005586029,0.0208333333333334,0,11.5750259262163,2,0.000494791666666667,0
mpc,heavy_rain,30,5.50087899272502,0.0208333333333334,0,12.093189782983,1,0.371801215277778,0
rule,infiltration_shift,1,4.9934627377802,0,0,28,2,0.000759548611111111,0
mpc,infiltration_shift,1,0.569706978646734,0,0,39.9957696410803,1,0.365588107638889,0
rule,infiltration_shift,2,6.13092717313148,0,0,28,2,0.000524305555555556,0
mpc,infiltration_shift,2,0.520309133958823,0,0,40.2987571348894,1,0.357228298611111,0
rule,infiltration_shift,3,4.92100148830379,0,0,28,2,0.000521267361111111,0
mpc,infiltration_shift,3,0.463509424331749,0,0,38.9084106685635,1,0.353802083333333,0
rule,infiltration_shift,4,3.90890599843129,0,0,28,2,0.000517795138888889,0
mpc,infiltration_shift,4,0.493087527309262,0,0,34.7899206283279,1,0.373809461805556,0
rule,infiltration_shift,5,5.51948730790024,0,0,28,2,0.000578125,0
mpc,infiltration_shift,5,0.476836085948775,0,0,40.2024674138586,1,0.383806423611111,0
rule,infiltration_shift,6,3.58274020374823,0,0,28,2,0.000546006944444444,0
mpc,infiltration_shift,6,0.734437782250615,0,0,33.5891894076005,1,0.366986545138889,0
rule,infiltration_shift,7,4.16259010675329,0,0,28,2,0.000520833333333333,0
mpc,infiltration_shift,7,0.446088361185406,0,0,34.3483714087485,1,0.369526475694444,0
rule,infiltration_shift,8,4.63165848694601,0,0,28,2,0.000572482638888889,0
mpc,infiltration_shift,8,0.517381954752934,0,0,36.7270962646246,1,0.371916666666667,0
rule,infiltration_shift,9,4.24173183852188,0,0,28,2,0.000541232638888889,0
mpc,infiltration_shift,9,0.675426220738283,0,0,39.8789831126724,1,0.357112413194444,0
rule,infiltration_shift,10,4.09115134371761,0,0,28,2,0.000572048611111111,0
mpc,infiltration_shift,10,0.561688116664292,0,0,36.013032976755,1,0.365976128472222,0
rule,infiltration_shift,11,4.90302491998824,0,0,28,2,0.000516927083333333,0
mpc,infiltration_shift,11,0.553698445723796,0,0,36.2264880066351,1,0.350338107638889,0
