scenario,seed,delta_waterLevelMAE,delta_bandViolationRate,delta_safetyViolationCount,delta_totalIrrigationMm,delta_switchCount,delta_meanDecisionTimeMs,delta_mpcFallbackCount
infiltration_shift,29,-2.47750898822982,0,0,7.74037072352313,-1,0.347844184027778,0
infiltration_shift,30,-3.53810992392923,0,0,11.1862306183166,-1,0.369701822916667,0
sensor_noise,1,0.98690077727079,0,0,12.0403255185473,-3,0.354958767361111,0
sensor_noise,2,1.8737955197191,0,0,11.1459806580583,-3,0.365529513888889,0
sensor_noise,3,2.46364535751598,0,0,-1.58585928297986,-5,0.359852430555556,0
sensor_noise,4,2.3944017154543,0,0,13.6643595548032,-3,0.376985243055556,0
sensor_noise,5,-0.562818407631993,0,0,11.0047613339875,-3,0.35344140625,0
sensor_noise,6,1.82623902523988,0,0,10.5222562321141,-3,0.364983940972222,0
sensor_noise,7,2.45037214510186,0,0,12.7998946381109,-3,0.355735677083333,0
sensor_noise,8,3.53000332305903,0,0,11.8867345856532,-3,0.360581163194444,0
sensor_noise,9,-2.82244547925343,0,0,1.81726669066048,-3,0.352840711805556,0
sensor_noise,10,3.09907214258979,0,0,-0.689043847325877,-5,0.35455859375,0
sensor_noise,11,2.22867023547011,0,0,9.9862448425317,-3,0.351329427083333,0
sensor_noise,12,1.47304375682999,0,0,6.51355660913455,-3,0.368016493055556,0
sensor_noise,13,0.299636768341582,0,0,8.84082279089891,-3,0.361986979166667,0
sensor_noise,14,1.38723863947813,0,0,3.86651649910234,-5,0.375967447916667,0
sensor_noise,15,-0.781469635132938,0,0,7.92924392609841,-3,0.34936328125,0
sensor_noise,16,2.01674300433291,0,0,4.32115417365403,-3,0.347592013888889,0
sensor_noise,17,-0.189916571605796,0,0,6.51248719157319,-3,0.359801649305555,0
sensor_noise,18,1.17422238168888,0,0,9.69324556153953,-3,0.366594184027778,0
sensor_noise,19,1.75325511515486,0,0,14.4578505206162,-3,0.355618923611111,0
sensor_noise,20,2.91521191036585,0,0,12.0425296636572,-3,0.354167100694444,0
sensor_noise,21,1.48712267064221,0,0,6.33688564279768,-3,0.349229166666667,0
sensor_noise,22,-0.842951763269452,0,0,1.719874206989,-3,0.379799913194444,0
sensor_noise,23,0.481801801212185,0,0,13.8551877911247,-3,0.373266493055556,0
sensor_noise,24,1.18863746427138,0,0,15.5442107227754,-1,0.355732638888889,0
sensor_noise,25,0.196566252960586,0,0,3.69049195553067,-3,0.359832465277778,0
sensor_noise,26,1.82322374993616,0,0,12.743641343587,-3,0.35761328125,0
sensor_noise,27,3.29058478465827,0,0,-0.848641851888999,-5,0.379595052083333,0
sensor_noise,28,0.820729090821658,0,0,3.43315384475468,-3,0.365363715277778,0
sensor_noise,29,-0.0134111466089921,0,0,15.1544698866491,-2,0.358690538194444,0
sensor_noise,30,2.56522420086632,0,0,13.0017584714422,-3,0.365167534722222,0
actuator_delay,1,-5.79407086266817,0,0,9.67889290326539,-1,0.349795572916667,0
actuator_delay,2,-9.62356703828822,-0.135416666666667,0,1.03474623495797,-1,0.363789930555556,0
actuator_delay,3,-5.8189738681004,0,0,5.09231963746895,-1,0.355859375,0
actuator_delay,4,-7.90929335907237,0,0,-0.726582302938112,-1,0.359163194444444,0
actuator_delay,5,-6.74847621874664,0,0,-0.667240223563404,-1,0.353068142361111,0
