timeStep,waterLevel_Rule,waterLevel_MPC,action_Rule,action_MPC,rainfall,ET,actualInfiltration
79,39.8024035088077,40.4791181668303,0,0.311728425719213,0.0446945073178941,0.558921553737651,0.293465380634516
80,39.0326306303158,40.0347550531236,0,0.316216702090265,0.064582478845303,0.528290391275972,0.30606496606122
81,38.1182749618528,39.421783910916,0,0.76617885594731,0,0.573225662416009,0.341130006047006
82,37.2902034039883,39.3765079936369,0,2.04372128679451,0,0.493927736205639,0.33414382165882
83,36.6090746945593,40.8190139470451,0,1.53791521141629,0.161132368718055,0.532046243062014,0.310214835085018
84,35.736215137967,41.4113703849108,0,0.315545381176388,0,0.576613334517806,0.296246222074523
85,34.9965958647733,40.9879923098154,0,2.89659749918139e-13,0.0164167484938754,0.467824609852863,0.288211411834718
86,34.1003853737389,40.0917818187813,0,0.485833498716089,0,0.573344961240702,0.322865529793682
87,33.3003092089673,39.7950043481766,0,1.14187222962301,0.0581365555343623,0.555605362941909,0.302607357364021
88,32.3637527321049,40.0070019433843,0,1.63444981599642,0,0.62482722042862,0.311729256433828
89,31.5842957201539,40.8930865378413,0,0.448186161477315,0.0432858634222399,0.520674887224248,0.302067988148983
90,30.8149514944195,40.5698154326959,0,0.254252311830173,0,0.464053398643302,0.3052908270911
91,29.9268035044473,39.9391820414957,0,1.45825699001296,0,0.587052007410965,0.301095982561193
92,29.1860738387223,40.6261000924584,0,1.01281594341079,0.168080151955536,0.604384775761666,0.304425041918883
93,28.3140614094102,40.7172096482679,0,1.0291558900185,0.0176411940863882,0.587833506669091,0.301820116729383
94,27.3855790213297,40.8257825324644,0,0.212437902202684,0,0.63148469798593,0.296997690094627
95,26.6366635549767,40.2852993287543,0,0.511401708529495,0.0211089334851037,0.481250331121418,0.288774068716616
96,25.875247783412,40.0361683336567,0,1.0752763265942,0,0.497399472367921,0.264016299196834
