Episode,EpisodeReward,EpisodeSteps,AverageReward,GlobalStepCount
362,-1.22864481314623,96,-40.8092707198084,34752
363,-11.2138622021055,96,-41.8093762551024,34848
364,-0.762318935937169,96,-30.0914341478792,34944
365,-1.27885508313195,96,-24.614972426142,35040
366,-18.1806382568186,96,-25.9469528911846,35136
367,-222.710937147198,96,-46.4432325649598,35232
368,-4.76859122318846,96,-46.8386870023164,35328
369,-8.94677126040118,96,-47.5821356393097,35424
370,-1.83519822344964,96,-37.0639306083884,35520
371,-1.23903236180087,96,-27.2164849507177,35616
372,-203.4543146232,96,-47.4390519317231,35712
373,-296.319951453221,96,-75.9496608568346,35808
374,-2.7975347645258,96,-76.1531824396935,35904
375,-9.82171873515867,96,-77.0074688048962,36000
376,-1.9530487825448,96,-75.3847098574688,36096
377,-1.30483785765354,96,-53.2440999285144,36192
378,-67.6333571214396,96,-59.5305765183395,36288
379,-169.386733949645,96,-75.5745727872639,36384
380,-1.37282991281237,96,-75.5283359562002,36480
381,-17.4181695879038,96,-77.1462496788105,36576
382,-1.01167745180811,96,-56.9019859616713,36672
383,-1.21852710056119,96,-27.3918435264053,36768
384,-156.713024737279,96,-42.7833925236806,36864
385,-16.67754689011,96,-43.4689753391757,36960
386,-2.65391679538269,96,-43.5390621404595,37056
387,-9.79184950256214,96,-44.3877633049504,37152
388,-0.804921782789547,96,-37.7049197710854,37248
389,-1.2833288073704,96,-20.8945792568579,37344
390,-40.4181966821893,96,-24.7991159337956,37440
391,-14.028874412715,96,-24.4601864162767,37536
392,-1.12617462324879,96,-24.4716361334208,37632
393,-9.04841004621829,96,-25.2546244279865,37728
394,-0.849401212423528,96,-9.66826207550096,37824
395,-1.2427787618989,96,-8.12478526267986,37920
396,-238.026416997216,96,-31.6620352828632,38016
397,-421.03366096453,96,-72.78621642906,38112
398,-1.47768127022587,96,-72.8534923778036,38208
399,-25.9421243492518,96,-75.3193719319918,38304
400,-19.0645734722547,96,-73.1840096109983,38400
401,-1.26933663433333,96,-71.9080558331602,38496
402,-127.462448812528,96,-84.5416832520881,38592
403,-339.220947542114,96,-117.558937001678,38688
404,-1.51263898676258,96,-117.625260779112,38784
405,-15.0322013754059,96,-119.004203040462,38880
406,-1.80000548123741,96,-95.3815618888644,38976
407,-1.22469001276736,96,-53.4006647936881,39072
408,-41.2192154143999,96,-57.3748182081055,39168
409,-133.203389148103,96,-68.1009446879906,39264
410,-4.07369499857552,96,-66.6018568406227,39360
411,-13.1150785436221,96,-67.7864310315516,39456
412,-0.924597208248137,96,-55.1326458711236,39552
413,-1.24147336171428,96,-21.3346984530836,39648
